Annual summary output from Biome-BGC version Paleo
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  2000    1751.5      26.9       2.2     324.7    1011.7     253.6      78.2
  2001    1704.6      27.1       2.2     351.8     872.3     277.4      93.8
  2002    1743.8      27.5       2.2     429.3     927.4     353.2     175.5
  2003    1762.4      26.4       2.2     378.3     941.9     366.9     179.4
  2004    1936.7      26.8       2.3     414.8    1089.1     378.7     203.1
  2005    1607.8      27.7       2.3     319.3     894.7     119.1     -61.2
  2006    1857.0      26.6       2.2     371.1    1054.3     364.8     169.4
  2007    1810.3      26.6       2.1     314.0    1021.8     282.3     100.5
  2008    1804.2      27.5       2.2     407.7    1008.8     313.0     136.7
  2009    1879.2      27.2       2.2     351.5    1072.3     298.6     108.8
  2010    1751.5      26.9       2.2     324.6    1011.7     253.6      78.2
  2011    1704.6      27.1       2.2     351.7     872.3     277.3      93.7
  2012    1743.8      27.5       2.2     429.3     927.5     353.2     175.4
  2013    1762.4      26.4       2.2     378.2     941.9     366.7     179.4
  2014    1936.7      26.8       2.3     414.8    1089.1     378.6     203.1
  2015    1607.8      27.7       2.3     319.2     894.7     119.1     -61.2
  2016    1857.0      26.6       2.2     371.1    1054.3     364.7     169.3
  2017    1810.3      26.6       2.1     313.9    1021.9     282.2     100.5
  2018    1804.2      27.5       2.2     407.6    1008.8     312.9     136.7
  2019    1879.2      27.2       2.2     351.4    1072.3     298.5     108.8
  2020    1751.5      26.9       2.2     324.6    1011.8     253.6      78.2
  2021    1704.6      27.1       2.2     351.6     872.3     277.1      93.6
  2022    1743.8      27.5       2.2     429.2     927.5     353.1     175.4
  2023    1762.4      26.4       2.2     378.2     941.9     366.6     179.3
  2024    1936.7      26.8       2.3     414.8    1089.2     378.5     203.0
  2025    1607.8      27.7       2.3     319.2     894.7     119.0     -61.2
  2026    1857.0      26.6       2.2     371.0    1054.3     364.5     169.2
  2027    1810.3      26.6       2.1     313.8    1021.9     282.1     100.5
  2028    1804.2      27.5       2.2     407.6    1008.9     312.8     136.6
  2029    1879.2      27.2       2.2     351.4    1072.3     298.4     108.7
  2030    1751.5      26.9       2.2     324.6    1011.8     253.5      78.3
  2031    1704.6      27.1       2.2     351.5     872.4     277.0      93.6
  2032    1743.8      27.5       2.2     429.2     927.5     353.0     175.4
  2033    1762.4      26.4       2.2     378.1     942.0     366.5     179.2
  2034    1936.7      26.8       2.3     414.7    1089.2     378.3     203.0
  2035    1607.8      27.7       2.3     319.1     894.8     119.0     -61.2
  2036    1857.0      26.6       2.2     370.9    1054.4     364.3     169.1
  2037    1810.3      26.6       2.1     313.8    1021.9     282.0     100.4
  2038    1804.2      27.5       2.2     407.5    1008.9     312.7     136.6
  2039    1879.2      27.2       2.2     351.3    1072.3     298.3     108.7
  2040    1751.5      26.9       2.2     324.5    1011.8     253.5      78.3
  2041    1704.6      27.1       2.2     351.5     872.4     276.8      93.5
  2042    1743.8      27.5       2.2     429.1     927.5     352.9     175.4
  2043    1762.4      26.4       2.2     378.0     942.0     366.3     179.1
  2044    1936.7      26.8       2.3     414.7    1089.2     378.2     202.9
  2045    1607.8      27.7       2.3     319.1     894.8     119.0     -61.1
  2046    1857.0      26.6       2.2     370.8    1054.4     364.2     169.0
  2047    1810.3      26.6       2.1     313.7    1021.9     281.9     100.4
  2048    1804.2      27.5       2.2     407.5    1009.0     312.6     136.6
  2049    1879.2      27.2       2.2     351.2    1072.4     298.2     108.6
